# Wordlist

# DATA
ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS	AUTOCOGID
6453	1.6 3.0 1.0 1.3 3.0 1.0	yɔ̀wɔ́	yɔ̀wɔ́	j ɔ ¹ w ɔ ⁵	run	4	j ɔ ¹ w ɔ ⁵	yɔ̀wɔ́	0	6 7 8 6 7 8	8607	AXTBYT	4.J.C 4.U.V 4.6.T 4.W.C 4.U.V 4.6.T	courir	1519	Bankan_Tey	JU6WU6	RUN		5662
6454	1.6 3.0 1.0 1.3 3.0 1.0	yɔ̀ɣɔ́	yɔ̀ɣɔ́	j ɔ ¹ ɣ ɔ ⁵ - - - - -	run	5	j ɔ ¹ ɣ ɔ ⁵	yɔ̀ɣɔ́	0	6 7 8 3 7 8	5913	AXTBYT	5.J.C 5.U.V 5.6.T 5.G.C 5.U.V 5.6.T	courir	1519	Ben_Tey	JU6GU6	RUN		5662
6455	1.6 3.0 1.0 1.3 3.0 1.0	yɔ̀gɔ́	yɔ̀gɔ́	j ɔ ¹ ɡ ɔ ⁵ - - - - -	run	24	j ɔ ¹ ɡ ɔ ⁵	yɔ̀gɔ́	0	6 7 8 1 7 8	5913	AXTBYT	24.J.C 24.U.V 24.6.T 24.K.C 24.U.V 24.6.T	courir	1519	Nanga	JU6KU6	RUN		5662
6456	1.6 3.0 1.0 1.3 3.0 1.0	jɔ̀wɔ́	jɔ̀wɔ́	dʒ ɔ ¹ w ɔ ⁵	run	26	dʒ ɔ ¹ w ɔ ⁵	jɔ̀wɔ́	0	1 7 8 6 7 8	8607	AXTBYT	26.T.C 26.U.V 26.6.T 26.W.C 26.U.V 26.6.T	courir	1519	Perge_Tegu	TU6WU6	RUN		5667
6457	1.6 3.0 1.0 1.3 3.0 1.0	jɔ̀wɔ́	jɔ̀wɔ́	dʒ ɔ ¹ w ɔ ⁵	run	32	dʒ ɔ ¹ w ɔ ⁵	jɔ̀wɔ́	1	1 7 8 6 7 8	8607	AXTBYT	32.T.C 32.U.V 32.6.T 32.W.C 32.U.V 32.6.T	courir	1519	Togo_Kan	TU6WU6	RUN		5667
6458	1.6 3.0 1.0 1.3 3.0 1.0	jɔ̀wɔ́	jɔ̀wɔ́	dʒ ɔ ¹ w ɔ ⁵	run	20	dʒ ɔ ¹ w ɔ ⁵	jɔ̀wɔ́	0	1 7 8 6 7 8	8607	AXTBYT	20.T.C 20.U.V 20.6.T 20.W.C 20.U.V 20.6.T	courir	1519	Jamsay	TU6WU6	RUN		5667
6459	2.0 1.5 1.3 1.75 0.8	hoolu	hoolu	h o: - l u -	run	6	h o o l u	hoolu	0	3 7 7 5 7	8608	AXYBZ	6.H.C 6.U.V 6.U.V 6.L.C 6.Y.V	courir	1519	Bozo_Debo	HUULY	RUN		5664
6460	2.0 1.5 0.8	kie	kie	k i e - -	run	6	k i e	kie	0	1 7 7	5916	AXZ	6.K.C 6.I.V 6.E.V	courir	1519	Bozo_Debo	KIE	RUN		5671
6461	1.6 3.0 1.0 1.3 3.0 1.0	xeele	xeele	- e: - l e -	run	8	b o ¹ l i ⁵	xeele	0	1 7 8 5 7 8	8608	AXTBYT	8.P.C 8.U.V 8.6.T 8.L.C 8.I.V 8.6.T	courir	1519	Bozo_Korondougou_nord	PU6LI6	RUN		5660
6462	2.0 1.5 0.8	kie	kie	k i e - -	run	8	k i e	kie	0	1 7 7	5916	AXZ	8.K.C 8.I.V 8.E.V	courir	1519	Bozo_Korondougou_nord	KIE	RUN		5671
6463	2.0 1.5 0.8	kie	kie	k i e - -	run	8	k i e	kie	1	1 7 7	5916	AXZ	8.K.C 8.I.V 8.E.V	courir	1519	Bozo_Korondougou_nord	KIE	RUN		5671
6464	2.0 1.5 0.8	kiɛrɛ	kiɛrɛ	k i ɛ r ɛ	run	8	k i e	kiɛrɛ	0	1 7 7	5916	AXZ	8.K.C 8.I.V 8.E.V	courir	1519	Bozo_Korondougou_nord	KIE	RUN		5671
6465	2.0 1.5 1.3 1.75 0.8	kie	kie	k i e - -	run	8	k i ɛ r ɛ	kie	1	1 7 7 5 7	5916	AXYBZ	8.K.C 8.I.V 8.E.V 8.R.C 8.E.V	courir	1519	Bozo_Korondougou_nord	KIERE	RUN		5671
6466	2.0 1.5 0.8	kie	kie	k i e - -	run	8	k i e	kie	1	1 7 7	5916	AXZ	8.K.C 8.I.V 8.E.V	courir	1519	Bozo_Korondougou_nord	KIE	RUN		5671
6467	2.0 1.5 0.8	kie	kie	k i e - -	run	8	k i e	kie	1	1 7 7	5916	AXZ	8.K.C 8.I.V 8.E.V	courir	1519	Bozo_Korondougou_nord	KIE	RUN		5671
6468	1.6 3.0 1.0 1.3 3.0 1.0	wùrú	wùrú	w u ¹ r u ⁵	run	8	w u ¹ r u ⁵	wùrú	0	6 7 8 5 7 8	349	AXTBYT	8.W.C 8.Y.V 8.6.T 8.R.C 8.Y.V 8.6.T	courir	1519	Bozo_Korondougou_nord	WY6RY6	RUN		5693
6469	1.5 1.3 1.75 0.8	bòlí	bòlí	b o ¹ l i ⁵	run	8	e e l e	bòlí	0	7 7 5 7	8608	XYBZ	8.E.V 8.E.V 8.L.C 8.E.V	courir, fuir, conduire (un véhicule)	1519	Bozo_Korondougou_nord	EELE	RUN		5694
6470	1.6 3.0 1.0 1.3 3.0 1.0	zùrù	zùrù	z u ¹ r u ¹	[intr] run, move fast; run away, flee	28	z u ¹ r u ¹	zùrù	0	3 7 8 5 7 8	349	AXTBYT	28.S.C 28.Y.V 28.6.T 28.R.C 28.Y.V 28.6.T	courir; se sauver	1519	Songhai_Senni	SY6RY6	RUN		5677
9396	1.6 3.0 1.0 1.3 3.0 1.0	bòlí	bòlí	b o ¹ l i ⁵		2	b o ¹ l i ⁵	bòlí	0	1 7 8 5 7 8	8608	AXTBYT	2.P.C 2.U.V 2.6.T 2.L.C 2.I.V 2.6.T		1519	Bambara	PU6LI6	RUN		5660
9743	1.6 3.0 1.0 1.3 3.0 1.0	zùrù	zùrù	z u ¹ r u ¹		27	z u ¹ r u ¹	zùrù	0	3 7 8 5 7 8	349	AXTBYT	27.S.C 27.Y.V 27.6.T 27.R.C 27.Y.V 27.6.T		1519	Songhai_Kiini	SY6RY6	RUN		5677
#
6471	1.6 3.0 1.0 0.5 0.0 3.0 1.0	kìr-ò	kìr-ò	k i ( ¹ ) r + o ( ¹ )	[n] salt	28	k i ¹ r + o ¹	kìr-ò	0	1 7 8 5 9 7 8	8609	AXTN_XT	28.K.C 28.I.V 28.6.T 28.R.c 28._._ 28.U.V 28.6.T	sel	1274	Songhai_Senni	KI6R_U6	SALT		5720
6472	1.6 3.0 1.0 0.5	nɛ̌ŋ	nɛ̌ŋ	n ɛ ¹⁵ ŋ - - - - - - -	salt	35	n ɛ ¹⁵ ŋ	nɛ̌ŋ	0	4 7 8 4	5960	AXTN	35.N.C 35.E.V 35.2.T 35.N.c	sel	1274	Toro_Tegu	NE2N	SALT		5711
6473	1.6 3.0 1.0 0.5	nɛ̌m	nɛ̌m	n ɛ ¹⁵ m - - - - - - -	salt	5	n ɛ ¹⁵ m	nɛ̌m	0	4 7 8 4	5960	AXTN	5.N.C 5.E.V 5.2.T 5.M.c	sel	1274	Ben_Tey	NE2M	SALT		5698
6474	1.6 3.0 1.0 1.3 3.0 1.0	nɛ̀:mí	nɛ̀:mí	n ɛː ¹ m - i ⁵ - - - -	salt	24	n ɛː ¹ m i ⁵	nɛ̀:mí	0	4 7 8 4 7 8	5960	AXTBYT	24.N.C 24.E.V 24.6.T 24.M.C 24.I.V 24.6.T	sel	1274	Nanga	NE6MI6	SALT		5698
6475	1.6 3.0 1.0	mɛ̌:	mɛ̌:	m ɛː ¹⁵ - - - - -	salt	32	m ɛː ¹⁵	mɛ̌:	0	4 7 8	5941	AXT	32.M.C 32.E.V 32.2.T	sel	1274	Togo_Kan	ME2	SALT		5723
6476	1.6 3.0 1.0 0.5	něm	něm	n e ¹⁵ m - - - - - - -	salt	16	n e ¹⁵ m	něm	0	4 7 8 4	5960	AXTN	16.N.C 16.E.V 16.2.T 16.M.c	sel	1274	Dogul_Dom	NE2M	SALT		5698
6477	1.6 3.0 1.0 1.3 3.0 1.0	nèmé	nèmé	n e ¹ m - e ⁵ - - - -	salt	30	n e ¹ m e ⁵	nèmé	0	4 7 8 4 7 8	5960	AXTBYT	30.N.C 30.E.V 30.6.T 30.M.C 30.E.V 30.6.T	sel	1274	Tebul_Ure	NE6ME6	SALT		5698
6478	1.6 3.0 1.0 0.5	nɛ̀m	nɛ̀m	n ɛ ¹ m - - - - - - -	salt	36	n ɛ ¹ m	nɛ̀m	0	4 7 8 4	5960	AXTN	36.N.C 36.E.V 36.6.T 36.M.c	sel	1274	Yanda_Dom	NE6M	SALT		5698
6479	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	nɛ̌m-gó	nɛ̌m-gó	n ɛ ¹⁵ m - - - + ɡ o ⁵	salt	23	n ɛ ¹⁵ m + ɡ o ⁵	nɛ̌m-gó	0	4 7 8 4 9 1 7 8	5960	AXTN_AXT	23.N.C 23.E.V 23.2.T 23.M.c 23._._ 23.K.C 23.U.V 23.6.T	sel	1274	Najamba	NE2M_KU6	SALT		5716
6480	1.6 3.0 1.0 1.1 1.3 3.0 1.0	mɛ̀njɛ́	mɛ̀njɛ́ (mɛ̀njɛ́ gè)	m ɛ ¹ n dʒ ɛ - ⁵	salt	1	m ɛ ¹ n dʒ ɛ ⁵	mɛ̀njɛ́	0	4 7 8 4 1 7 8	5941	AXTMBYT	1.M.C 1.E.V 1.6.T 1.N.c 1.T.C 1.E.V 1.6.T	sel	1274	Ampari	ME6NTE6	SALT		5695
6481	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kómúnù	kómúnù	k o ⁵ m u ⁵ n u ¹	salt	15	k o ⁵ m u ⁵ n u ¹	kómúnù	0	1 7 8 4 7 8 4 7 8	5953	AXTBYTBYT	15.K.C 15.U.V 15.6.T 15.M.C 15.Y.V 15.6.T 15.N.C 15.Y.V 15.6.T	sel	1274	Bunoge	KU6MY6NY6	SALT		5709
6482	1.6 3.0 1.0 0.5	něŋ	něŋ	n e ¹⁵ ŋ - - - - - - -	salt	17	n e ¹⁵ ŋ	něŋ	0	4 7 8 4	5960	AXTN	17.N.C 17.E.V 17.2.T 17.N.c	sel	1274	Donno_So	NE2N	SALT		5711
6483	1.6 3.0 1.0 1.1 0.5	nɛ́wⁿ	nɛ́wⁿ	n ɛ ⁵ w̃ ∼ - - - - - -	salt	31	n ɛ ⁵ w̃ ∼	nɛ́wⁿ	0	4 7 8 6 4	5960	AXTLN	31.N.C 31.E.V 31.6.T 31.W.c 31.9.c	sel	1274	Tiranige_Diga	NE6W9	SALT		5715
6484	1.6 3.0 1.0 1.1 0.5	nêwⁿ	nêwⁿ	n e ⁵¹ w̃ ∼ - - - - - -	salt	22	n e ⁵¹ w̃ ∼	nêwⁿ	0	4 7 8 6 4	5960	AXTLN	22.N.C 22.E.V 22.3.T 22.W.c 22.9.c	sel	1274	Mombo	NE3W9	SALT		5715
6485	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʤɛ́nʤɛ̄	ʤɛ́nʤɛ̄	dʒ ɛ ⁵ n dʒ ɛ - ³	salt	3	dʒ ɛ ⁵ n dʒ ɛ ³	ʤɛ́nʤɛ̄	0	1 7 8 4 1 7 8	5941	AXTMBYT	3.T.C 3.E.V 3.6.T 3.N.c 3.T.C 3.E.V 3.6.T	sel	1274	Bangime	TE6NTE6	SALT	Ampari	5697
6486	2.0 1.5 1.3 1.1 1.75 1.3 0.8	lamɗam	mbelɗam	l a m ɗ a m	salt	18	m b e l ɗ a m	mbelɗam	0	4 1 7 5 1 7 4	5956	ACYMBYN	18.M.C 18.P.C 18.E.V 18.L.c 18.T.C 18.A.V 18.M.c	sel	1274	Fulfulde	MPELTAM	SALT		5712
6487	1.6 3.0 1.0 1.3 3.0 1.0	kùwɔ̀	kùwɔ̀	k u ( ¹ ) w ɔ ( ¹ )	salt	21	k u ¹ w ɔ ¹	kùwɔ̀	0	1 7 8 6 7 8	5940	AXTBYT	21.K.C 21.Y.V 21.6.T 21.W.C 21.U.V 21.6.T	sel	1274	Jenaama	KY6WU6	SALT		5700
6488	1.6 3.0 1.0 0.5	nɛ̌m	nɛ̌m	n ɛ ¹⁵ m - - - - - - -	salt	4	n ɛ ¹⁵ m	nɛ̌m	0	4 7 8 4	5960	AXTN	4.N.C 4.E.V 4.2.T 4.M.c	sel	1274	Bankan_Tey	NE2M	SALT		5698
6489	1.6 3.0 1.0 0.5	nɛ̀m	nɛ̀m	n ɛ ¹ m - - - - - - -	salt	25	n ɛ ¹ m	nɛ̀m	0	4 7 8 4	5960	AXTN	25.N.C 25.E.V 25.6.T 25.M.c	sel	1274	Penange	NE6M	SALT		5698
6490	1.6 3.0 1.0 0.5	nɛ̌m	nɛ̌m	n ɛ ¹⁵ m - - - - - - -	salt	26	n ɛ ¹⁵ m	nɛ̌m	0	4 7 8 4	5960	AXTN	26.N.C 26.E.V 26.2.T 26.M.c	sel	1274	Perge_Tegu	NE2M	SALT		5698
6491	1.6 3.0 1.0 0.5	nɛ̌m	nɛ̌m	n ɛ ¹⁵ m - - - - - - -	salt	33	n ɛ ¹⁵ m	nɛ̌m	0	4 7 8 4	5960	AXTN	33.N.C 33.E.V 33.2.T 33.M.c	sel	1274	Tommo_So	NE2M	SALT		5698
6492	1.6 3.0 1.0 1.3 3.0 1.1 1.0	míyɛ̀ⁿ	míyɛ̀ⁿ	m i ⁵ - j ɛ̃ ¹ ∼	salt	34	m i ⁵ j ɛ̃ ∼ ¹	míyɛ̀ⁿ	0	4 7 8 6 7 4 8	5941	AXTBYLT	34.M.C 34.I.V 34.6.T 34.J.C 34.E.V 34.9.c 34.6.T	sel	1274	Tomo_Kan	MI6JE96	SALT		5725
6493	1.6 3.0 1.0 0.5	nɛ̌m	nɛ̌m	n ɛ ¹⁵ m - - - - - - -	salt	37	n ɛ ¹⁵ m	nɛ̌m	0	4 7 8 4	5960	AXTN	37.N.C 37.E.V 37.2.T 37.M.c	sel	1274	Yorno_So	NE2M	SALT		5698
6494	1.6 3.0 1.0 0.5	nɛ̌m	nɛ̌m	n ɛ ¹⁵ m - - - - - - -	salt	20	n ɛ ¹⁵ m	nɛ̌m	0	4 7 8 4	5960	AXTN	20.N.C 20.E.V 20.2.T 20.M.c	sel	1274	Jamsay	NE2M	SALT		5698
6495	2.0 1.5 1.75 0.8	hɔlɔ	hɔlɔ	h ɔ ( - ) l - ɔ ( - )	salt	7	h ɔ l ɔ	hɔlɔ	0	3 7 5 7	8609	AXBZ	7.H.C 7.U.V 7.L.C 7.U.V	sel	1274	Bozo_Hainyaxo	HULU	SALT		5701
6496	2.0 1.5 1.5	kwɔ	kwɔ	k - ( - ) w ɔ ( - )	salt	11	k w ɔ	kwɔ	0	1 6 7	5940	ACX	11.K.C 11.W.C 11.U.V	sel	1274	Bozo_Pondori_nord	KWU	SALT		5700
6497	1.5 1.75 0.8	xɔlɔ	xɔlɔ	- ɔ ( - ) l - ɔ ( - )	salt	14	ɔ l ɔ	xɔlɔ	0	7 5 7	8609	XBZ	14.U.V 14.L.C 14.U.V	sel	1274	Bozo_Tieyaxo	ULU	SALT		5701
6498	2.0 1.5 1.5	kwɔ	kwɔ	k - ( - ) w ɔ ( - )	salt	12	k w ɔ	kwɔ	0	1 6 7	5940	ACX	12.K.C 12.W.C 12.U.V	sel	1274	Bozo_Pondori_sud	KWU	SALT		5700
6499	2.0 1.5 0.8	kɔɔ	kɔɔ	k ɔ ( - ) - ɔ ( - )	salt	10	k ɔ ɔ	kɔɔ	0	1 7 7	5940	AXZ	10.K.C 10.U.V 10.U.V	sel	1274	Bozo_Kotya	KUU	SALT		5696
6500	2.0 1.5 1.75 0.8	kɔrɔ	kɔrɔ	k ɔ ( - ) r - ɔ ( - )	salt	13	k ɔ r ɔ	kɔrɔ	0	1 7 5 7	8609	AXBZ	13.K.C 13.U.V 13.R.C 13.U.V	sel	1274	Bozo_Tiema_Cewe	KURU	SALT		5696
6501	2.0 1.5 1.5 0.8	kwɔɔ	kwɔɔ	k - ( - ) w ɔ: ( - )	salt	6	k w ɔ ɔ	kwɔɔ	0	1 6 7 7	5940	ACXZ	6.K.C 6.W.C 6.U.V 6.U.V	sel	1274	Bozo_Debo	KWUU	SALT		5700
6502	2.0 1.5 1.5	kwa	kwa	k - ( - ) w a ( - )	salt	8	k w a	kwa	0	1 6 7	5940	ACX	8.K.C 8.W.C 8.A.V	sel	1274	Bozo_Korondougou_nord	KWA	SALT		5700
6503	2.0 1.5 1.75 0.8	kuwɔ	kuwɔ	k u ( - ) w ɔ ( - )	salt	9	k u w ɔ	kuwɔ	0	1 7 6 7	5940	AXBZ	9.K.C 9.Y.V 9.W.C 9.U.V	sel	1274	Bozo_Korondougou_sud	KYWU	SALT		5700
6504	2.0 1.5 1.75 0.8	kɔ̀gɔ́	kɔ̀gɔ́	k ɔ ( ¹ ) ɡ ɔ ( ⁵ )	salt	2	k ɔ ɡ ɔ	kɔ̀gɔ́	0	1 7 1 7	5940	AXBZ	2.K.C 2.U.V 2.K.C 2.U.V	sel	1274	Bambara	KUKU	SALT		5696
6505	1.6 3.0 1.0 1.3 3.0 1.0	kɔgɔ	kɔgɔ	k ɔ ( - ) ɡ ɔ ( - )	salt	2	k ɔ ¹ ɡ ɔ ⁵	kɔgɔ	1	1 7 8 1 7 8	5940	AXTBYT	2.K.C 2.U.V 2.6.T 2.K.C 2.U.V 2.6.T	sel/salt	1274	Bambara	KU6KU6	SALT		5696
#
6506	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ɲíímbɛ̀	ɲíímbɛ̀	ɲ iː ⁵ m b ɛ ¹	sand	3	ɲ iː ⁵ m b ɛ ¹	ɲíímbɛ̀	0	4 7 8 4 1 7 8	5972	AXTMBYT	3.N.C 3.I.V 3.6.T 3.M.c 3.P.C 3.E.V 3.6.T	sable	671	Bangime	NI6MPE6	SAND		5728
6507	2.0 1.5 1.3 1.3 1.75 1.3 1.3 1.1 1.75 0.8	njaareendi	njaareendi	n dʒ a: r e: n d i	sand	18	n dʒ a a r e e n d i	njaareendi	0	4 1 7 7 5 7 7 4 1 7	5987	ACYYBYYMBZ	18.N.C 18.T.C 18.A.V 18.A.V 18.R.C 18.E.V 18.E.V 18.N.c 18.T.C 18.I.V	sable	671	Fulfulde	NTAAREENTI	SAND		5743
6508	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	sɔ̀ⁿ-sɔ̀ⁿ	sɔ̀ⁿ-sɔ̀ⁿ	- - s ɔ ¹ ∼ - - - - - + - s ɔ ¹ ∼ - - - - ( - - - - - - - - - )	sand	21	s ɔ ∼ ¹ + s ɔ ∼ ¹	sɔ̀ⁿ-sɔ̀ⁿ	0	3 7 4 8 9 3 7 4 8	5992	AXLT_AXLT	21.S.C 21.U.V 21.9.c 21.6.T 21._._ 21.S.C 21.U.V 21.9.c 21.6.T	sable	671	Jenaama	SU96_SU96	SAND		5746
6509	2.0 1.5 0.8	tɔɔ	tɔɔ	t ɔ: ( - ) - - ( - ) - - - - - - - ( - - )	sand	7	t ɔ ɔ	tɔɔ	0	1 7 7	5997	AXZ	7.T.C 7.U.V 7.U.V	sable	671	Bozo_Hainyaxo	TUU	SAND		5732
6510	2.0 1.5 1.3 0.8	sieⁿ	sieⁿ	s i ( - ) - ẽ ( - ) - ∼ - - - - - ( - - )	sand	11	s i ẽ ∼	sieⁿ	0	3 7 7 4	5997	AXYN	11.S.C 11.I.V 11.E.V 11.9.c	sable	671	Bozo_Pondori_nord	SIE9	SAND		5733
6511	1.5 1.1 1.75 0.8	xaⁿmu	xaⁿmu	ã ∼ m u	sand	14	ã ∼ m u	xaⁿmu	0	7 4 4 7	5982	XMBZ	14.A.V 14.9.c 14.M.C 14.Y.V	sable	671	Bozo_Tieyaxo	A9MY	SAND		5739
6512	2.0 1.5 1.3 1.1 1.75 0.8	siɛⁿdu	siɛⁿdu	s i ( - ) - ɛ̃ ( - ) - ∼ - - - - - ( d u )	sand	12	s i ɛ̃ ∼ d u	siɛⁿdu	0	3 7 7 4 1 7	5997	AXYMBZ	12.S.C 12.I.V 12.E.V 12.9.c 12.T.C 12.Y.V	sable	671	Bozo_Pondori_sud	SIE9TY	SAND		5733
6513	2.0 1.5 1.1 1.75 1.3 0.8	cɔⁿcɔⁿ	cɔⁿcɔⁿ	tʃ ɔ̃: ( - ) ∼ - ( - ) - - - - - - - ( - - )	sand	10	tʃ ɔ̃ ∼ tʃ ɔ̃ ∼	cɔⁿcɔⁿ	0	1 7 4 1 7 4	5997	AXMBYN	10.T.C 10.U.V 10.9.c 10.T.C 10.U.V 10.9.c	sable	671	Bozo_Kotya	TU9TU9	SAND		5727
6514	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	kɛⁿɛⁿɲɛⁿ	kɛⁿɛⁿɲɛⁿ	k ɛ̃ ( - ) - ɛ̃ ( - ) - ∼ + ɲ ɛ̃ - ∼ ( - - )	sand	13	k ɛ̃ ∼ ɛ̃ ∼ ɲ ɛ̃ ∼	kɛⁿɛⁿɲɛⁿ	0	1 7 4 7 4 4 7 4	5997	AXBYMBYN	13.K.C 13.E.V 13.9.C 13.E.V 13.9.c 13.N.C 13.E.V 13.9.c	sable	671	Bozo_Tiema_Cewe	KE9E9NE9	SAND		5738
6515	2.0 1.5 1.1 1.75 1.3 0.8	soⁿsoⁿ	soⁿsoⁿ	s o ( - ) ∼ - ( - ) - - + s o - ∼ ( - - )	sand	6	s o ∼ s o ∼	soⁿsoⁿ	0	3 7 4 3 7 4	5997	AXMBYN	6.S.C 6.U.V 6.9.c 6.S.C 6.U.V 6.9.c	sable	671	Bozo_Debo	SU9SU9	SAND		5727
6516	2.0 1.5 1.3 1.1 1.75 1.3 1.3 0.8	sieⁿsioⁿ	sieⁿsioⁿ	s i ( - ) - ẽ ( - ) - ∼ + s i o ∼ ( - - )	sand	8	s i ẽ ∼ s i o ∼	sieⁿsioⁿ	0	3 7 7 4 3 7 7 4	5997	AXYMBYYN	8.S.C 8.I.V 8.E.V 8.9.c 8.S.C 8.I.V 8.U.V 8.9.c	sable	671	Bozo_Korondougou_nord	SIE9SIU9	SAND		5733
6517	2.0 1.5 1.3 1.1 1.75 1.3 1.3 0.8	siⁿɛⁿsiⁿoⁿ	siⁿɛⁿsiⁿoⁿ	s ĩ ( - ) - ɛ̃ ( - ) - ∼ + s ĩ o ∼ ( - - )	sand	9	s ĩ ɛ̃ ∼ s ĩ o ∼	siⁿɛⁿsiⁿoⁿ	0	3 7 7 4 3 7 7 4	5997	AXYMBYYN	9.S.C 9.I.V 9.E.V 9.9.c 9.S.C 9.I.V 9.U.V 9.9.c	sable	671	Bozo_Korondougou_sud	SIE9SIU9	SAND		5733
6518	1.6 3.0 1.0 1.3 3.0 1.0	sèyê	sèyê	s e ( !¹ ) j e ( - ) - - - - - !⁵¹ - ( - - )	sand	29	s e ¹ j e ⁵¹	sèyê	0	3 7 8 6 7 8	5997	AXTBYT	29.S.C 29.E.V 29.6.T 29.J.C 29.E.V 29.3.T	sable	671	Soninke	SE6JE3	SAND		5753
6519	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0	sèyéŋŋè	sèyéŋŋè	s e ( !¹ ) j e ( !⁵ ) ŋ: - - - e !¹ - ( - - )	sand	29	s e ¹ j e ⁵ ŋ ŋ e ¹	sèyéŋŋè	0	3 7 8 6 7 8 4 4 7 8	5997	AXTBYTMBYT	29.S.C 29.E.V 29.6.T 29.J.C 29.E.V 29.6.T 29.N.c 29.N.C 29.E.V 29.6.T	sable	671	Soninke	SE6JE6NNE6	SAND		5753
6520	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0 0.5	ìsò-súměy	ìsò-súměy	i ¹ s o ¹ - - - - - - + - s u ⁵ m - e ¹⁵ j ( - - - - - - - - - )	sand, sandy soil	35	i ¹ s o ¹ + s u ⁵ m e ¹⁵ j	ìsò-súměy	0	7 8 3 7 8 9 3 7 8 4 7 8 6	5992	XTBYT_AXTBYTN	35.I.V 35.6.T 35.S.C 35.U.V 35.6.T 35._._ 35.S.C 35.Y.V 35.6.T 35.M.C 35.E.V 35.2.T 35.J.c	sable, sol sableux	671	Toro_Tegu	I6SU6_SY6ME2J	SAND		5758
6521	1.6 3.0 1.0 1.3 3.0 1.0 0.5 0.0 1.6 3.0 1.0	sùmòy-sô:	sùmòy-sô:	- - s u ¹ m - o ¹ j - + - s oː ⁵¹ - - - - - ( - - - - - - - - - )	sand, sandy soil	5	s u ¹ m o ¹ j + s oː ⁵¹	sùmòy-sô:	0	3 7 8 4 7 8 6 9 3 7 8	5992	AXTBYTN_AXT	5.S.C 5.Y.V 5.6.T 5.M.C 5.U.V 5.6.T 5.J.c 5._._ 5.S.C 5.U.V 5.3.T	sable, sol sableux	671	Ben_Tey	SY6MU6J_SU3	SAND		5730
6522	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	sùmbày_bú:rù	sùmbày bú:rù	- - s u ¹ m b a ¹ j - _ - - - - - - - - - ( b uː ⁵ r u ¹ - - - )	sand, sandy soil	4	s u ¹ m b a ¹ j _ b uː ⁵ r u ¹	sùmbày_bú:rù	0	3 7 8 4 1 7 8 6 9 1 7 8 5 7 8	5992	AXTMBYTN_AXTBYT	4.S.C 4.Y.V 4.6.T 4.M.c 4.P.C 4.A.V 4.6.T 4.J.c 4._._ 4.P.C 4.Y.V 4.6.T 4.R.C 4.Y.V 4.6.T	sable, sol sableux	671	Bankan_Tey	SY6MPA6J_PY6RY6	SAND		5729
6523	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	sɔ̀:mbɔ̀_sɛ́:rⁿɛ̀	sɔ̀:mbɔ̀ sɛ́:rⁿɛ̀, sɛ́:rⁿɛ̀	- - s ɔː ¹ m b ɔ ¹ - - _ - s ɛː ⁵ r̃ ∼ - ɛ ¹ ( - - - - - - - - - )	sand, sandy soil	24	s ɔː ¹ m b ɔ ¹ _ s ɛː ⁵ r̃ ∼ ɛ ¹	sɔ̀:mbɔ̀_sɛ́:rⁿɛ̀	0	3 7 8 4 1 7 8 9 3 7 8 5 4 7 8	5992	AXTMBYT_AXTMBYT	24.S.C 24.U.V 24.6.T 24.M.c 24.P.C 24.U.V 24.6.T 24._._ 24.S.C 24.E.V 24.6.T 24.R.c 24.9.C 24.E.V 24.6.T	sable, sol sableux	671	Nanga	SU6MPU6_SE6R9E6	SAND		5749
6524	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.5	sù-sǔm	sù-sǔm	- - s u ¹ - - - - - - + - s u ¹⁵ - m - - - ( - - - - - - - - - )	sand, sandy soil	26	s u ¹ + s u ¹⁵ m	sù-sǔm	0	3 7 8 9 3 7 8 4	5992	AXT_AXTN	26.S.C 26.Y.V 26.6.T 26._._ 26.S.C 26.Y.V 26.2.T 26.M.c	sable, sol sableux	671	Perge_Tegu	SY6_SY2M	SAND		5744
