ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS
6880	2.0 1.5 1.3 1.1 1.75 0.8	yiɛⁿniⁿ	yiɛⁿniⁿ	j i ɛ̃ ( - - ) ∼ ( - - ) n ĩ ( - )	seven	8	j i ɛ̃ ∼ n ĩ	yiɛⁿniⁿ	0	6 7 7 4 4 7	6349	AXYMBZ	8.J.C 8.I.V 8.E.V 8.9.c 8.N.C 8.I.V	sept	1704	Bozo_Korondougou_nord	JIE9NI	SEVEN	
6881	2.0 1.5 1.75 1.3 1.1 1.75 0.8	yɛⁿɛⁿniⁿ	yɛⁿɛⁿniⁿ	j ɛ̃ !- ( - - ) ∼ ( ɛ̃ ∼ ) n ĩ ( - )	seven	9	j ɛ̃ ∼ ɛ̃ ∼ n ĩ	yɛⁿɛⁿniⁿ	0	6 7 4 7 4 4 7	6349	AXBYMBZ	9.J.C 9.E.V 9.9.C 9.E.V 9.9.c 9.N.C 9.I.V	sept	1704	Bozo_Korondougou_sud	JE9E9NI	SEVEN	
6882	1.6 3.0 1.0 1.3 3.0 1.0	ɲérú	ɲérú	ɲ e ⁵ r u ⁵	seven	29	ɲ e ⁵ r u ⁵	ɲérú	0	4 7 8 5 7 8	6369	AXTBYT	29.N.C 29.E.V 29.6.T 29.R.C 29.Y.V 29.6.T	sept	1704	Soninke	NE6RY6	SEVEN	
6883	1.6 3.0 1.0 1.3 3.0 1.1 1.0 1.3 3.0 1.0 1.3 3.0 1.0	wólóⁿwùlá	wólóⁿwùlá	w o ⁵ l õ ∼ ⁵ + w u ¹ l a ⁵	seven	2	w o ⁵ l õ ∼ ⁵ w u ¹ l a ⁵	wólóⁿwùlá	0	6 7 8 5 7 4 8 6 7 8 5 7 8	6345	AXTBYLTBYTBYT	2.W.C 2.U.V 2.6.T 2.L.C 2.U.V 2.9.c 2.6.T 2.W.C 2.Y.V 2.6.T 2.L.C 2.A.V 2.6.T	sept	1704	Bambara	WU6LU96WY6LA6	SEVEN	
6884	1.6 3.0 1.0 1.3 3.0 1.0	ʔí:yê	ʔí:yê	ʔ iː ⁵ j e ⁵¹	[num] seven	28	ʔ iː ⁵ j e ⁵¹	ʔí:yê	0	1 7 8 6 7 8	6368	AXTBYT	28.H.C 28.I.V 28.6.T 28.J.C 28.E.V 28.3.T	sept [no change in Absol form] -poss: 1Sg .í:y-è -ex: wòy .í:yê seven women	1704	Songhai_Senni	HI6JE3	SEVEN	
6885	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ɕìì-rì	ɕìì-rì	( - - - - - - ) ɕ iː ¹ ( + ) r i ¹	sew	3	ɕ iː ¹ + r i ¹	ɕìì-rì	0	3 7 8 9 5 7 8	505	AXT_AXT	3.S.C 3.I.V 3.6.T 3._._ 3.R.C 3.I.V 3.6.T	coudre	1457	Bangime	SI6_RI6	SEW	
6886	2.0 1.5 1.3 0.8 0.0 1.5 1.75 0.8	ɲoow-ude	ɲoowude	ɲ o: w + u d e	sew	18	ɲ o o w + u d e	ɲoow-ude	0	4 7 7 6 9 7 1 7	6380	AXYN_XBZ	18.N.C 18.U.V 18.U.V 18.W.c 18._._ 18.Y.V 18.T.C 18.E.V	coudre	1457	Fulfulde	NUUW_YTE	SEW	
6887	3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	à-dēbē	à-dēbē	( a ¹ + ) d e ( ³ ) b e ( ³ )	sew	21	a ¹ + d e ³ b e ³	à-dēbē	0	7 8 9 1 7 8 1 7 8	6374	XT_AXTBYT	21.A.V 21.6.T 21._._ 21.T.C 21.E.V 21.6.T 21.P.C 21.E.V 21.6.T	coudre	1457	Jenaama	A6_TE6PE6	SEW	
6888	2.0 1.5 1.75 0.8	debe	debe	( - - - ) d e ( - ) b e ( - )	sew	6	d e b e	debe	0	1 7 1 7	6374	AXBZ	6.T.C 6.E.V 6.P.C 6.E.V	coudre	1457	Bozo_Debo	TEPE	SEW	
6889	2.0 1.5 1.75 0.8	debe	debe	( - - - ) d e ( - ) b e ( - )	sew	8	d e b e	debe	0	1 7 1 7	6374	AXBZ	8.T.C 8.E.V 8.P.C 8.E.V	coudre	1457	Bozo_Korondougou_nord	TEPE	SEW	
6890	2.0 1.5 1.75 0.8	debe	debe	( - - - ) d e ( - ) b e ( - )	sew	9	d e b e	debe	0	1 7 1 7	6374	AXBZ	9.T.C 9.E.V 9.P.C 9.E.V	coudre	1457	Bozo_Korondougou_sud	TEPE	SEW	
6891	2.0 1.5 1.75 0.8	dɛbɛ	dɛbɛ	( - - - ) d ɛ ( - ) b ɛ ( - )	sew	12	d ɛ b ɛ	dɛbɛ	0	1 7 1 7	6374	AXBZ	12.T.C 12.E.V 12.P.C 12.E.V	coudre	1457	Bozo_Pondori_sud	TEPE	SEW	
6892	3.0 1.0 1.3 3.0 1.0	átú	átú	a ⁵ t u ⁵	sew (with needle)	35	a ⁵ t u ⁵	átú	0	7 8 1 7 8	6395	XTBYT	35.A.V 35.6.T 35.T.C 35.Y.V 35.6.T	coudre (à l'aiguille)	1457	Toro_Tegu	A6TY6	SEW	
6893	1.6 3.0 1.0 1.3 3.0 1.0	kúyó	kúyó	k u ⁵ j o ⁵	sew (with needle)	5	k u ⁵ j o ⁵	kúyó	0	1 7 8 6 7 8	6373	AXTBYT	5.K.C 5.Y.V 5.6.T 5.J.C 5.U.V 5.6.T	coudre (à l'aiguille)	1457	Ben_Tey	KY6JU6	SEW	
6894	1.6 3.0 1.0	kó	kó	k o ⁵ ( - )	sew (with needle)	4	k o ⁵	kó	0	1 7 8	6372	AXT	4.K.C 4.U.V 4.6.T	coudre (à l'aiguille)	1457	Bankan_Tey	KU6	SEW	
6895	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ásárá	ásárá	( - - - - ) a ⁵ s a ⁵ r a ⁵	sew (with needle)	19	a ⁵ s a ⁵ r a ⁵	ásárá	0	7 8 3 7 8 5 7 8	6381	XTBYTBYT	19.A.V 19.6.T 19.S.C 19.A.V 19.6.T 19.R.C 19.A.V 19.6.T	coudre (à l'aiguille)	1457	Gourou	A6SA6RA6	SEW	
6896	1.6 3.0 1.0 0.0 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	tǔⁿ_ájìrì	tǔⁿ ájìrì	( t ũ ¹⁵ _ a ⁵ ) dʒ i ¹ ( - ) r i ¹	sew (with needle)	32	t ũ ¹⁵ _ a ⁵ dʒ i ¹ r i ¹	tǔⁿ_ájìrì	0	1 7 8 9 7 8 1 7 8 5 7 8	505	AXT_XTBYTBYT	32.T.C 32.Y.V 32.2.T 32._._ 32.A.V 32.6.T 32.T.C 32.I.V 32.6.T 32.R.C 32.I.V 32.6.T	coudre (à l'aiguille)	1457	Togo_Kan	TY2_A6TI6RI6	SEW	
6897	2.0 1.5	lɔ́:	lɔ́:	( - - - - - ) l ɔː ⁵	sew (with needle)	37	l ɔː	lɔ́:	0	5 7	6393	AX	37.L.C 37.U.V	coudre (à l'aiguille)	1457	Yorno_So	LU	SEW	
6898	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	nɔ̌y_nɔ́ɔ́	nɔ̌y nɔ́ɔ́	( n ɔ ¹⁵ j _ ) n ɔː ⁵	sew (with needle)	33	n ɔ ¹⁵ j _ n ɔː ⁵	nɔ̌y_nɔ́ɔ́	0	4 7 8 6 9 4 7 8	6393	AXTN_AXT	33.N.C 33.U.V 33.2.T 33.J.c 33._._ 33.N.C 33.U.V 33.6.T	coudre (à l'aiguille)	1457	Tommo_So	NU2J_NU6	SEW	
6899	3.0 1.0 1.3 3.0 1.0	ɔ́wɛ̀	ɔ́wɛ̀	ɔ ⁵ w ɛ ¹	sew (with needle)	16	ɔ ⁵ w ɛ ¹	ɔ́wɛ̀	1	7 8 6 7 8	6379	XTBYT	16.U.V 16.6.T 16.W.C 16.E.V 16.6.T	coudre (à l'aiguille)	1457	Dogul_Dom	U6WE6	SEW	
6900	1.6 3.0 1.0 0.5	pɛ́:y	pɛ́:y (pɛ́:y-tì-)	p ɛː ⁵ j ( - - )	sew (with needle)	30	p ɛː ⁵ j	pɛ́:y	0	1 7 8 6	6396	AXTN	30.P.C 30.E.V 30.6.T 30.J.c	coudre (à l'aiguille)	1457	Tebul_Ure	PE6J	SEW	
6901	1.6 3.0 1.0 1.3 3.0 1.0	píyɛ́	píyɛ́	p i ⁵ j ( ɛ ⁵ )	sew (with needle)	36	p i ⁵ j ɛ ⁵	píyɛ́	0	1 7 8 6 7 8	6396	AXTBYT	36.P.C 36.I.V 36.6.T 36.J.C 36.E.V 36.6.T	coudre (à l'aiguille)	1457	Yanda_Dom	PI6JE6	SEW	
6902	1.6 3.0 1.0	kê:	kê:	k ( - ) eː ⁵¹	sew (with needle)	15	k eː ⁵¹	kê:	0	1 7 8	6387	AXT	15.K.C 15.E.V 15.3.T	coudre (à l'aiguille)	1457	Bunoge	KE3	SEW	
6903	1.6 3.0 1.0 1.3 3.0 1.0	kúyé	kúyé	k u ⁵ j e ⁵	sew (with needle)	22	k u ⁵ j e ⁵	kúyé	0	1 7 8 6 7 8	6373	AXTBYT	22.K.C 22.Y.V 22.6.T 22.J.C 22.E.V 22.6.T	coudre (à l'aiguille)	1457	Mombo	KY6JE6	SEW	
6904	1.6 3.0 1.0 0.5	kóy	kóy	k o ⁵ ( j )	sew (with needle)	23	k o ⁵ j	kóy	0	1 7 8 6	6372	AXTN	23.K.C 23.U.V 23.6.T 23.J.c	coudre (à l'aiguille)	1457	Najamba	KU6J	SEW	
6905	1.6 3.0 1.0	kó:	kó:	k oː ⁵ ( - )	sew (with needle)	24	k oː ⁵	kó:	0	1 7 8	6372	AXT	24.K.C 24.U.V 24.6.T	coudre (à l'aiguille)	1457	Nanga	KU6	SEW	
6906	1.6 1.2 3.0 1.0	kwé:	kwé:	k ( w ) eː ⁵	sew (with needle)	25	k w eː ⁵	kwé:	0	1 6 7 8	6387	ACXT	25.K.C 25.W.C 25.E.V 25.6.T	coudre (à l'aiguille)	1457	Penange	KWE6	SEW	
6907	1.6 3.0 1.0	pɛ́:	pɛ́:	p ɛː ⁵ !- ( - - )	sew (with needle)	26	p ɛː ⁵	pɛ́:	1	1 7 8	6396	AXT	26.P.C 26.E.V 26.6.T	coudre (à l'aiguille)	1457	Perge_Tegu	PE6	SEW	
6908	1.6 3.0 1.0	kó:	kó:	k oː ⁵ ( - )	sew (with needle)	31	k oː ⁵	kó:	0	1 7 8	6372	AXT	31.K.C 31.U.V 31.6.T	coudre (à l'aiguille)	1457	Tiranige_Diga	KU6	SEW	
6909	1.6 3.0 1.0 1.3 3.0 1.0	ʔàlí	ʔàlí	ʔ a ¹ l i ⁵	sew (with needle)	34	ʔ a ¹ l i ⁵	ʔàlí	0	1 7 8 5 7 8	6394	AXTBYT	34.H.C 34.A.V 34.6.T 34.L.C 34.I.V 34.6.T	coudre (à l'aiguille)	1457	Tomo_Kan	HA6LI6	SEW	
6910	1.6 3.0 1.0	tá:	tá:	t aː ⁵	[tr] sew (clothing, shoes)	28	t aː ⁵	tá:	0	1 7 8	6389	AXT	28.T.C 28.A.V 28.6.T	coudre (habits, chaussures)	1457	Songhai_Senni	TA6	SEW	
6911	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ájárá	ájárá	( - - - - ) a ⁵ dʒ a ⁵ r a ⁵	sew (with needle)	20	a ⁵ dʒ a ⁵ r a ⁵	ájárá	0	7 8 1 7 8 5 7 8	6381	XTBYTBYT	20.A.V 20.6.T 20.T.C 20.A.V 20.6.T 20.R.C 20.A.V 20.6.T	sew (with needle)	1457	Jamsay	A6TA6RA6	SEW	
6912	1.6 3.0 1.0 0.5 0.0 3.0 1.0	kà:n-ò	kà:n-ò	k aː ¹ n ( + o ¹ )	[adj] sharp (blade)	28	k aː ¹ n + o ¹	kà:n-ò	0	1 7 8 4 9 7 8	6422	AXTN_XT	28.K.C 28.A.V 28.6.T 28.N.c 28._._ 28.U.V 28.6.T	(lame) tranchant [< kâ:n 2] -ex: sémb-ú kà:n-ò sharp knife	1396	Songhai_Senni	KA6N_U6	SHARP	
6913	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ɛ̀lɛ̀lú_wɔ̀	ɛ̀lɛ̀lú wɔ̀	ɛ ¹ l ɛ ¹ l u ⁵ ( _ w ɔ ¹ )	(blade) be sharp	34	ɛ ¹ l ɛ ¹ l u ⁵ _ w ɔ ¹	ɛ̀lɛ̀lú_wɔ̀	0	7 8 5 7 8 5 7 8 9 6 7 8	6425	XTBYTBYT_AXT	34.E.V 34.6.T 34.L.C 34.E.V 34.6.T 34.L.C 34.Y.V 34.6.T 34._._ 34.W.C 34.U.V 34.6.T	(lame) tranchant, affilé	1396	Tomo_Kan	E6LE6LY6_WU6	SHARP	
6914	1.6 3.0 1.0 1.3 3.0 1.0	lìsí	lìsí	l i ¹ s i ⁵	sharp (blade)	35	l i ¹ s i ⁵	lìsí	0	5 7 8 3 7 8	6427	AXTBYT	35.L.C 35.I.V 35.6.T 35.S.C 35.I.V 35.6.T	(lame) tranchant, affilé	1396	Toro_Tegu	LI6SI6	SHARP	
6915	1.6 3.0 1.0 1.3 3.0 1.0 0.5	yágùm	yágùm, ɛ́rù-m	j a ⁵ ɡ u ¹ + m	sharp (blade)	5	j a ⁵ ɡ u ¹ m	yágùm	0	6 7 8 1 7 8 4	6400	AXTBYTN	5.J.C 5.A.V 5.6.T 5.K.C 5.Y.V 5.6.T 5.M.c	(lame) tranchant, affilé	1396	Ben_Tey	JA6KY6M	SHARP	
6916	3.0 1.0 1.3 3.0 1.0 0.5	ɛ́rùm	ɛ́rùm	ɛ ⁵ r u ¹ + m	sharp (blade)	4	ɛ ⁵ r u ¹ m	ɛ́rùm	1	7 8 5 7 8 4	507	XTBYTN	4.E.V 4.6.T 4.R.C 4.Y.V 4.6.T 4.M.c	(lame) tranchant, affilé	1396	Bankan_Tey	E6RY6M	SHARP	
6917	3.0 1.0 1.3 3.0 1.0	ɛ́rî	ɛ́rî	( - ) ɛ ⁵ r i ⁵¹	sharp (blade)	24	ɛ ⁵ r i ⁵¹	ɛ́rî	1	7 8 5 7 8	6399	XTBYT	24.E.V 24.6.T 24.R.C 24.I.V 24.3.T	(lame) tranchant, affilé	1396	Nanga	E6RI3	SHARP	
6918	3.0 1.0 1.3 3.0 1.0	érù	érù	( - ) e ⁵ r u ¹	sharp (blade)	26	e ⁵ r u ¹	érù	1	7 8 5 7 8	6399	XTBYT	26.E.V 26.6.T 26.R.C 26.Y.V 26.6.T	(lame) tranchant, affilé	1396	Perge_Tegu	E6RY6	SHARP	
6919	1.6 3.0 1.0 1.1 0.5	ɲéyⁿ	ɲéyⁿ	ɲ e ⁵ j ( ∼ ) !- !- ( - - - - - - - )	sharp (blade)	19	ɲ e ⁵ j ∼	ɲéyⁿ	0	4 7 8 6 4	6417	AXTLN	19.N.C 19.E.V 19.6.T 19.J.c 19.9.c	(lame) tranchant, affilé	1396	Gourou	NE6J9	SHARP	
6920	1.6 3.0 1.0 1.3 3.0 1.0	ɲí:ɲí	ɲí:ɲí	ɲ iː ⁵ ɲ ( !- ) i ⁵ ( - - - - - - - )	sharp (blade)	32	ɲ iː ⁵ ɲ i ⁵	ɲí:ɲí	0	4 7 8 4 7 8	6417	AXTBYT	32.N.C 32.I.V 32.6.T 32.N.C 32.I.V 32.6.T	(lame) tranchant, affilé	1396	Togo_Kan	NI6NI6	SHARP	
6921	3.0 1.0 0.5	ɛ̂:l	ɛ̂:l ~ ɛ́lɛ̀l	ɛː ⁵¹ l ( - - - - - - )	sharp (blade)	37	ɛː ⁵¹ l	ɛ̂:l	1	7 8 5	6418	XTN	37.E.V 37.3.T 37.L.c	(lame) tranchant, affilé	1396	Yorno_So	E3L	SHARP	
6922	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ɛ́lɛ́lú	ɛ́lɛ́lú, yágárú	ɛ ⁵ l ɛ ⁵ l u ⁵ ( - - - - )	sharp (blade)	33	ɛ ⁵ l ɛ ⁵ l u ⁵	ɛ́lɛ́lú	1	7 8 5 7 8 5 7 8	6425	XTBYTBYT	33.E.V 33.6.T 33.L.C 33.E.V 33.6.T 33.L.C 33.Y.V 33.6.T	(lame) tranchant, affilé	1396	Tommo_So	E6LE6LY6	SHARP	
6923	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.0	síyɔ̀-ŋ̀	síyɔ̀-ŋ̀	s i ⁵ j ɔ ¹ + ŋ ¹	sharp (blade)	16	s i ⁵ j ɔ ¹ + ŋ ¹	síyɔ̀-ŋ̀	0	3 7 8 6 7 8 9 4 8	6411	AXTBYT_AT	16.S.C 16.I.V 16.6.T 16.J.C 16.U.V 16.6.T 16._._ 16.N.C 16.6.T	(lame) tranchant, affilé	1396	Dogul_Dom	SI6JU6_N6	SHARP	
6924	1.6 3.0 1.1 1.0	sǐ:ⁿ	sǐ:ⁿ	( - ) s ĩː ¹⁵ ∼	sharp (blade)	36	s ĩː ∼ ¹⁵	sǐ:ⁿ	0	3 7 4 8	508	AXLT	36.S.C 36.I.V 36.9.c 36.2.T	(lame) tranchant, affilé	1396	Yanda_Dom	SI92	SHARP	
6925	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ɛ̀lí-yè	ɛ̀lí-yè	ɛ ¹ l ( i ⁵ + j e ¹ )	sharp (blade)	23	ɛ ¹ l i ⁵ + j e ¹	ɛ̀lí-yè	1	7 8 5 7 8 9 6 7 8	6418	XTBYT_AXT	23.E.V 23.6.T 23.L.C 23.I.V 23.6.T 23._._ 23.J.C 23.E.V 23.6.T	(lame) tranchant, affilé	1396	Najamba	E6LI6_JE6	SHARP	
6926	1.6 3.0 1.0 1.1 1.3 3.0 1.0	dɛ̀njì	dɛ̀njì (also 'sweet')	d ɛ ¹ n dʒ i ¹	sharp (blade)	15	d ɛ ¹ n dʒ i ¹	dɛ̀njì	0	1 7 8 4 1 7 8	6410	AXTMBYT	15.T.C 15.E.V 15.6.T 15.N.c 15.T.C 15.I.V 15.6.T	(lame) tranchant, affilé	1396	Bunoge	TE6NTI6	SHARP	
6927	1.6 3.0 1.0 1.1 1.3 3.0 1.0	sìndú	sìndú	s i ¹ n d u ⁵	sharp (blade)	17	s i ¹ n d u ⁵	sìndú	0	3 7 8 4 1 7 8	6410	AXTMBYT	17.S.C 17.I.V 17.6.T 17.N.c 17.T.C 17.Y.V 17.6.T	(lame) tranchant, affilé	1396	Donno_So	SI6NTY6	SHARP	
6928	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ní:njí	ní:njí (also 'sweet')	n iː ⁵ n dʒ i ⁵	sharp (blade)	31	n iː ⁵ n dʒ i ⁵	ní:njí	1	4 7 8 4 1 7 8	6410	AXTMBYT	31.N.C 31.I.V 31.6.T 31.N.c 31.T.C 31.I.V 31.6.T	(lame) tranchant, affilé	1396	Tiranige_Diga	NI6NTI6	SHARP	
6929	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	ɲá:ɲá:_kánní	ɲá:ɲá: kánní	ɲ aː ⁵ ɲ ( - ) aː ⁵ ( _ k a ⁵ n: i ⁵ )	sharp (blade)	22	ɲ aː ⁵ ɲ aː ⁵ _ k a ⁵ n n i ⁵	ɲá:ɲá:_kánní	0	4 7 8 4 7 8 9 1 7 8 4 4 7 8	6417	AXTBYT_AXTMBYT	22.N.C 22.A.V 22.6.T 22.N.C 22.A.V 22.6.T 22._._ 22.K.C 22.A.V 22.6.T 22.N.c 22.N.C 22.I.V 22.6.T	(lame) tranchant, affilé	1396	Mombo	NA6NA6_KA6NNI6	SHARP	
6930	1.6 1.2 3.0 1.1 1.0	nsì:ⁿ	nsì:ⁿ	( n ) s ĩː ¹ ∼	sharp (blade)	25	n s ĩː ∼ ¹	nsì:ⁿ	0	4 3 7 4 8	508	ACYLT	25.N.C 25.S.C 25.I.V 25.9.c 25.6.T	(lame) tranchant, affilé	1396	Penange	NSI96	SHARP	
6931	1.6 3.0 1.0 1.3 3.0 1.0	dérí	dérí (2)	( d ) e ⁵ r i ⁵	sharp (blade)	3	d e ⁵ r i ⁵	dérí	0	1 7 8 5 7 8	6399	AXTBYT	3.T.C 3.E.V 3.6.T 3.R.C 3.I.V 3.6.T	tranchant	1396	Bangime	TE6RI6	SHARP	Jamsay, Bunoge
6932	2.0 1.5 1.3 1.75 1.3 1.3 1.1 1.75 0.8	welude	mbeleendi	w e l u d e	sharp (blade)	18	m b e l e e n d i	mbeleendi	0	4 1 7 5 7 7 4 1 7	6413	ACYBYYMBZ	18.M.C 18.P.C 18.E.V 18.L.C 18.E.V 18.E.V 18.N.c 18.T.C 18.I.V	tranchant	1396	Fulfulde	MPELEENTI	SHARP	
6933	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	lɔ̄g-dēmō	lɔ̄g-dēmō	l ɔ ( ³ ) ɡ !- !+ d e !³ m ( o ³ )	sharp (blade)	21	l ɔ ³ ɡ + d e ³ m o ³	lɔ̄g-dēmō	0	5 7 8 1 9 1 7 8 4 7 8	6404	AXTN_AXTBYT	21.L.C 21.U.V 21.6.T 21.K.c 21._._ 21.T.C 21.E.V 21.6.T 21.M.C 21.U.V 21.6.T	tranchant	1396	Jenaama	LU6K_TE6MU6	SHARP	
6934	3.0 1.0 1.3 3.0 1.0	érù	érù	( - ) e ⁵ r u ¹	sharp (blade)	20	e ⁵ r u ¹	érù	1	7 8 5 7 8	6399	XTBYT	20.E.V 20.6.T 20.R.C 20.Y.V 20.6.T	tranchant	1396	Jamsay	E6RY6	SHARP	
6935	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	daⁿaⁿdeⁿ	daⁿaⁿdeⁿ	d ã ∼ ã ∼ d ẽ ( - ∼ )	sharp (blade)	6	d ã ∼ ã ∼ d ẽ ∼	daⁿaⁿdeⁿ	0	1 7 4 7 4 1 7 4	6401	AXBYMBYN	6.T.C 6.A.V 6.9.C 6.A.V 6.9.c 6.T.C 6.E.V 6.9.c	tranchant (aigu)	1396	Bozo_Debo	TA9A9TE9	SHARP	
6936	2.0 1.5 1.75 1.3 1.75 1.3 0.8	luguliɛ	luguliɛ	l u ( - ) ɡ u !- l i ɛ !- ( - - )	sharp (blade)	7	l u ɡ u l i ɛ	luguliɛ	0	5 7 1 7 5 7 7	6404	AXBYBYZ	7.L.C 7.Y.V 7.K.C 7.Y.V 7.L.C 7.I.V 7.E.V	tranchant (aigu)	1396	Bozo_Hainyaxo	LYKYLIE	SHARP	
6937	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.3 0.8	laⁿaⁿdeuⁿ	laⁿaⁿdeuⁿ	l ã ∼ ã ∼ d e ( ũ ∼ )	sharp (blade)	8	l ã ∼ ã ∼ d e ũ ∼	laⁿaⁿdeuⁿ	0	5 7 4 7 4 1 7 7 4	6401	AXBYMBYYN	8.L.C 8.A.V 8.9.C 8.A.V 8.9.c 8.T.C 8.E.V 8.Y.V 8.9.c	tranchant (aigu)	1396	Bozo_Korondougou_nord	LA9A9TEY9	SHARP	
6938	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.3 0.8	loguⁿdeuⁿ	loguⁿdeuⁿ	l o ( - ) ɡ ũ ∼ d e ũ ∼ ( - - )	sharp (blade)	9	l o ɡ ũ ∼ d e ũ ∼	loguⁿdeuⁿ	0	5 7 1 7 4 1 7 7 4	6404	AXBYMBYYN	9.L.C 9.U.V 9.K.C 9.Y.V 9.9.c 9.T.C 9.E.V 9.Y.V 9.9.c	tranchant (aigu)	1396	Bozo_Korondougou_sud	LUKY9TEY9	SHARP	
6939	2.0 1.5 1.1 1.75 0.8	guⁿde	guⁿde	!- !- ( - ) ɡ ũ ∼ d e !- !- ( - - )	sharp (blade)	10	ɡ ũ ∼ d e	guⁿde	0	1 7 4 1 7	6404	AXMBZ	10.K.C 10.Y.V 10.9.c 10.T.C 10.E.V	tranchant (aigu)	1396	Bozo_Kotya	KY9TE	SHARP	
6940	2.0 1.5 1.75 1.3 1.1 1.75 0.8	lɔⁿɔⁿdi	lɔⁿɔⁿdi	l ɔ̃ ∼ ɔ̃ ∼ d i ( - - )	sharp (blade)	11	l ɔ̃ ∼ ɔ̃ ∼ d i	lɔⁿɔⁿdi	0	5 7 4 7 4 1 7	6401	AXBYMBZ	11.L.C 11.U.V 11.9.C 11.U.V 11.9.c 11.T.C 11.I.V	tranchant (aigu)	1396	Bozo_Pondori_nord	LU9U9TI	SHARP	
6941	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	doⁿoⁿdeⁿ	doⁿoⁿdeⁿ	d o ∼ o ∼ d ẽ ( - ∼ )	sharp (blade)	12	d o ∼ o ∼ d ẽ ∼	doⁿoⁿdeⁿ	0	1 7 4 7 4 1 7 4	6401	AXBYMBYN	12.T.C 12.U.V 12.9.C 12.U.V 12.9.c 12.T.C 12.E.V 12.9.c	tranchant (aigu)	1396	Bozo_Pondori_sud	TU9U9TE9	SHARP	
6942	2.0 1.5 1.75 1.3 1.1 1.75 0.8	laⁿaⁿde	laⁿaⁿde	l ã ∼ ã ∼ d e ( - - )	sharp (blade)	14	l ã ∼ ã ∼ d e	laⁿaⁿde	0	5 7 4 7 4 1 7	6401	AXBYMBZ	14.L.C 14.A.V 14.9.C 14.A.V 14.9.c 14.T.C 14.E.V	tranchant (aigu)	1396	Bozo_Tieyaxo	LA9A9TE	SHARP	
6943	2.0 1.5 1.75 1.3 1.1 1.75 0.8	laⁿaⁿdi	laⁿaⁿdi	l ã ∼ ã ∼ d i ( - - )	sharp (blade)	13	l ã ∼ ã ∼ d i	laⁿaⁿdi	0	5 7 4 7 4 1 7	6401	AXBYMBZ	13.L.C 13.A.V 13.9.C 13.A.V 13.9.c 13.T.C 13.I.V	tranchant (aigu)	1396	Bozo_Tiema_Cewe	LA9A9TI	SHARP	
6944	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	pɛ̀rɛ̌-m	pɛ̀rɛ̌-m	p ɛ ¹ r ɛ ¹⁵ + m	sheep	4	p ɛ ¹ r ɛ ¹⁵ + m	pɛ̀rɛ̌-m	0	1 7 8 5 7 8 9 4	6432	AXTBYT_A	4.P.C 4.E.V 4.6.T 4.R.C 4.E.V 4.2.T 4._._ 4.M.C	mouton	1331	Bankan_Tey	PE6RE2_M	SHEEP	
6945	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʔálámà	ʔálámà	( ʔ ) a ⁵ l a ⁵ m a ¹ ( - - - - - )	sheep	15	ʔ a ⁵ l a ⁵ m a ¹	ʔálámà	0	1 7 8 5 7 8 4 7 8	6443	AXTBYTBYT	15.H.C 15.A.V 15.6.T 15.L.C 15.A.V 15.6.T 15.M.C 15.A.V 15.6.T	mouton	1331	Bunoge	HA6LA6MA6	SHEEP	
6946	1.6 3.0 1.0 1.1 1.3 3.0 1.0	pésgè	pésgè	p e ⁵ s ɡ e ¹	sheep	16	p e ⁵ s ɡ e ¹	pésgè	0	1 7 8 3 1 7 8	514	AXTMBYT	16.P.C 16.E.V 16.6.T 16.S.c 16.K.C 16.E.V 16.6.T	mouton	1331	Dogul_Dom	PE6SKE6	SHEEP	
