ID	CONCEPT_IN_SOURCE	IPA	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CONCEPT	BORROWINGS	TOKENS
8453	tree or large woody shrub	tìmɔ̂:	arbre ou gros arbuste ligneux	906	Najamba	TREE		t i ¹ m ɔː ⁵¹
8454	tree or large woody shrub	tùmá	arbre ou gros arbuste ligneux	906	Nanga	TREE		t u ¹ m a ⁵
8455	tree or large woody shrub	tìndìgɔ̀	arbre ou gros arbuste ligneux	906	Penange	TREE		t i ¹ n d i ¹ ɡ ɔ ¹
8456	tree or large woody shrub	tìwⁿɛ́	arbre ou gros arbuste ligneux	906	Perge_Tegu	TREE		t i ¹ w̃ ∼ ɛ ⁵
8457	tree or large woody shrub	tìmǎ:	arbre ou gros arbuste ligneux	906	Tebul_Ure	TREE		t i ¹ m aː ¹⁵
8458	tree or large woody shrub	tílŋgɔ́	arbre ou gros arbuste ligneux	906	Tiranige_Diga	TREE		t i ⁵ l ŋ ɡ ɔ ⁵
8459	tree or large woody shrub	tìmɛ́	arbre ou gros arbuste ligneux	906	Togo_Kan	TREE		t i ¹ m ɛ ⁵
8460	tree or large woody shrub	tìmɛ́	arbre ou gros arbuste ligneux	906	Tommo_So	TREE		t i ¹ m ɛ ⁵
8461	tree or large woody shrub	tìwⁿá	arbre ou gros arbuste ligneux	906	Toro_Tegu	TREE		t i ¹ w̃ ∼ a ⁵
8462	tree or large woody shrub	tìmè	arbre ou gros arbuste ligneux	906	Yanda_Dom	TREE		t i ¹ m e ¹
8463	tree or large woody shrub	tɛ̀wⁿɛ́	arbre ou gros arbuste ligneux	906	Yorno_So	TREE		t ɛ ¹ w̃ ∼ ɛ ⁵
8464	tree (any)	tìíⁿ	arbre	906	Toro_So	TREE		t i ¹ ĩ ∼ ⁵
8465	twenty	mugaⁿ	vingt	1710	Bambara	TWENTY		m u ɡ ã ∼
8466	twenty	tààwⁿà	vingt	1710	Bangime	TWENTY	Bunoge, Jenaama	t aː ¹ w̃ ∼ a ¹
8467	twenty	pɛ̀ríyèy	vingt	1710	Bankan_Tey	TWENTY		p ɛ ¹ r i ⁵ j e ¹ j
8468	twenty	pèríyěy	vingt	1710	Ben_Tey	TWENTY		p e ¹ r i ⁵ j e ¹⁵ j
8469	twenty	ta̰pɛ̰de	vingt	1710	Bozo_Korondougou_nord	TWENTY		t a ∼ p ɛ ∼ d e
8470	twenty	ta̰pɛ̰de	vingt	1710	Bozo_Korondougou_sud	TWENTY		t a ∼ p ɛ ∼ d e
8471	twenty	ta̰pɛ̰nɛ	vingt	1710	Bozo_Pondori_nord	TWENTY		t a ∼ p ɛ ∼ n ɛ
8472	twenty	ta̰pḛne	vingt	1710	Bozo_Pondori_sud	TWENTY		t a ∼ p e ∼ n e
8473	twenty	tǎ:lmà	vingt	1710	Bunoge	TWENTY		t aː ¹⁵ l m a ¹
8474	twenty	pèné:gè	vingt	1710	Dogul_Dom	TWENTY		p e ¹ n eː ⁵ ɡ e ¹
8475	twenty	pè:něy	vingt	1710	Donno_So	TWENTY		p eː ¹ n e ¹⁵ j
8476	twenty	noogay	vingt	1710	Fulfulde	TWENTY		n o o ɡ a j
8477	twenty	pɛ́llɛ̀y	vingt	1710	Jamsay	TWENTY		p ɛ ⁵ l l ɛ ¹ j
8478	twenty	tāⁿpéndē	vingt	1710	Jenaama	TWENTY		t a ³ ∼ p e ⁵ n d e ³
8479	twenty	pɛ̀:nɛ́:ŋgà	vingt	1710	Mombo	TWENTY		p ɛː ¹ n ɛː ⁵ ŋ ɡ a ¹
8480	twenty	pɔ̌:nɔ̀y	vingt	1710	Najamba	TWENTY		p ɔː ¹⁵ n ɔ ¹ j
8481	twenty	pèríyěy	vingt	1710	Nanga	TWENTY		p e ¹ r i ⁵ j e ¹⁵ j
8482	twenty	tà:lmɔ̀	vingt	1710	Penange	TWENTY		t aː ¹ l m ɔ ¹
8483	twenty	pɛ́llěy	vingt	1710	Perge_Tegu	TWENTY		p ɛ ⁵ l l e ¹⁵ j
8484	[num] twenty	wàráŋkà	vingt	1710	Songhai_Senni	TWENTY		w a ¹ r a ⁵ ŋ k a ¹
8485	[num] twenty // 	wáràŋká	vingt	1710	Songhai_Kiini	TWENTY		w a ⁵ r a ¹ ŋ k a ⁵
8486	twenty	pɛ̀gàléy	vingt	1710	Tebul_Ure	TWENTY		p ɛ ¹ ɡ a ¹ l e ⁵ j
8487	twenty	pɛ́nɛ́ŋgà	vingt	1710	Tiranige_Diga	TWENTY		p ɛ ⁵ n ɛ ⁵ ŋ ɡ a ¹
8488	twenty	pɛ̌lɔ́y	vingt	1710	Togo_Kan	TWENTY		p ɛ ¹⁵ l ɔ ⁵ j
8489	twenty	pɛ̀ɛ̀néé	vingt	1710	Tommo_So	TWENTY		p ɛː ¹ n eː ⁵
8490	twenty	pélèy	vingt	1710	Toro_Tegu	TWENTY		p e ⁵ l e ¹ j
8491	twenty	pɔ̀:nɔ́:	vingt	1710	Yanda_Dom	TWENTY		p ɔː ¹ n ɔː
8492	twenty	pɛ́:lɛ́y	vingt	1710	Yorno_So	TWENTY		p ɛː ⁵ l ɛ ⁵ j
8493	twenty	pɛ́léj	vingt	1710	Toro_So	TWENTY		p ɛ ⁵ l e ⁵ dʒ
8494	two	é:ŋgá	deux	1498	Ampari	TWO		eː ⁵ ŋ ɡ a ⁵
8495	two	ʒìndò	deux	1498	Bangime	TWO		ʒ i ¹ n d o ¹
8496	two	yǒy	deux	1498	Bankan_Tey	TWO		j o ¹⁵ j
8497	two	fiɛⁿnuⁿ	deux	1498	Bozo_Pondori_nord	TWO		f i ɛ̃ ∼ n ũ ∼
8498	two	peⁿde	deux	1498	Bozo_Pondori_nord	TWO		p ẽ ∼ d e
8499	two	peⁿde	deux	1498	Bozo_Pondori_nord	TWO		p ẽ ∼ d e
8500	two	hílló	deux	1498	Bozo_Pondori_sud	TWO		h i ⁵ l l o ⁵
8501	two	peⁿne	deux	1498	Bozo_Tieyaxo	TWO		p ẽ ∼ n e
8502	two	peⁿde	deux	1498	Bozo_Tieyaxo	TWO		p ẽ ∼ d e
8503	two	peⁿde	deux	1498	Bozo_Tieyaxo	TWO		p ẽ ∼ d e
8504	two	peⁿde	deux	1498	Bozo_Tieyaxo	TWO		p ẽ ∼ d e
8505	two	peⁿde	deux	1498	Bozo_Tieyaxo	TWO		p ẽ ∼ d e
8506	two	peⁿnde	deux	1498	Bozo_Tieyaxo	TWO		p ẽ ∼ n d e
8507	two	dè:gà	deux	1498	Bunoge	TWO		d eː ¹ ɡ a ¹
8508	two	né:gè	deux	1498	Dogul_Dom	TWO		n eː ⁵ ɡ e ¹
8509	two	lɛ᷈y	deux	1498	Donno_So	TWO		l ɛ ∼ ¹⁵¹ j
8510	two	ɗiɗi	deux	1498	Fulfulde	TWO		ɗ i ɗ i
8511	two	lɛ̌y	deux	1498	Gourou	TWO		l ɛ ¹⁵ j
8512	two	lɛ̌y	deux	1498	Jamsay	TWO		l ɛ ¹⁵ j
8513	two	pēndē	deux	1498	Jenaama	TWO		p e ³ n d e ³
8514	two	nɛ́:ŋgá	deux	1498	Mombo	TWO		n ɛː ⁵ ŋ ɡ a ⁵
8515	two	nô:y	deux	1498	Najamba	TWO		n oː ⁵¹ j
8516	two	wǒy	deux	1498	Nanga	TWO		w o ¹⁵ j
8517	two	nègà	deux	1498	Penange	TWO		n e ¹ ɡ a ¹
8518	two	lěy	deux	1498	Perge_Tegu	TWO		l e ¹⁵ j
8519	[num] two	híŋká	deux	1498	Songhai_Senni	TWO		h i ⁵ ŋ k a ⁵
8520	[num] two	híŋká	deux	1498	Songhai_Kiini	TWO		h i ⁵ ŋ k a ⁵
8521	two	lé:rú	deux	1498	Tebul_Ure	TWO		l eː ⁵ r u ⁵
8522	two	nì:ŋgà	deux	1498	Tiranige_Diga	TWO		n iː ¹ ŋ ɡ a ¹
8523	two	lɔ́y	deux	1498	Togo_Kan	TWO		l ɔ ⁵ j
8524	two	néé	deux	1498	Tommo_So	TWO		n eː ⁵
8525	two	lěy	deux	1498	Toro_Tegu	TWO		l e ¹⁵ j
8526	two	nɔ́:	deux	1498	Yanda_Dom	TWO		n ɔː
8527	two	lɛ́y	deux	1498	Yorno_So	TWO		l ɛ ⁵ j
8528	two	lɛ́j	deux	1498	Toro_So	TWO		l ɛ ⁵ dʒ
8529	urine	sììⁿ	urine	1142	Bangime	URINE	Bozo_Hainyaxo	s ĩː ∼ ¹
8530	urine	ɔ̀zû:	urine	1142	Bankan_Tey	URINE		ɔ ¹ z uː ⁵¹
8531	urine	òmjú	urine	1142	Ben_Tey	URINE		o ¹ m dʒ u ⁵
8532	urine	sḭnḭ	urine	1142	Bozo_Hainyaxo	URINE		s i ∼ n i ∼
8533	urine	kwa̰ji	urine	1142	Bozo_Korondougou_nord	URINE		k w a ∼ dʒ i
8534	urine	kwa̰ji	urine	1142	Bozo_Korondougou_sud	URINE		k w a ∼ dʒ i
8535	urine	ko̰o̰ji	urine	1142	Bozo_Pondori_nord	URINE		k o ∼ o ∼ dʒ i
8536	urine	kwa̰ʒii	urine	1142	Bozo_Pondori_sud	URINE		k w a ∼ ʒ i i
8537	urine	mɔ́:njì	urine	1142	Bunoge	URINE		m ɔː n dʒ i ¹
8538	urine	ǹjá:	urine	1142	Dogul_Dom	URINE		n ¹ dʒ aː ⁵
8539	urine	ǹjàrî:	urine	1142	Donno_So	URINE		n ¹ dʒ a ¹ r iː ⁵¹
8540	urine	kibbe	urine	1142	Fulfulde	URINE		k i b b e
8541	urine	ùsùrⁿú	urine	1142	Gourou	URINE		u ¹ s u ¹ r̃ ∼ u ⁵
8542	urine	sùrⁿɔ́	urine	1142	Jamsay	URINE		s u ¹ r̃ ∼ ɔ ⁵
8543	urine	kɔ̀njì	urine	1142	Jenaama	URINE		k ɔ ¹ n dʒ i ¹
8544	urine	mónjì	urine	1142	Mombo	URINE		m o ⁵ n dʒ i ¹
8545	urine	mǒnjè	urine	1142	Najamba	URINE		m o ¹⁵ n dʒ e ¹
8546	urine	ɔ̀njî	urine	1142	Nanga	URINE		ɔ ¹ n dʒ i ⁵¹
8547	urine	mɔ̀:njì	urine	1142	Penange	URINE		m ɔː ¹ n dʒ i ¹
8548	urine	ùsùrⁿú	urine	1142	Perge_Tegu	URINE		u ¹ s u ¹ r̃ ∼ u ⁵
8549	[n] urine	tò:sò	urine	1142	Songhai_Senni	URINE		t oː ¹ s o ¹
8550	[intr] urinate // 	tòysì	uriner [polite syn hàrì-mùn ; HS tò:sù etc.]	1142	Songhai_Kiini	URINE		t o ¹ j s i ¹
8551	urine	èndílé	urine	1142	Tebul_Ure	URINE		e ¹ n d i ⁵ l e ⁵
8552	urine	ónjí	urine	1142	Tiranige_Diga	URINE		o ⁵ n dʒ i ⁵
8553	urine	ìⁿsìrⁿí	urine	1142	Togo_Kan	URINE		ĩ ∼ ¹ s i ¹ r̃ ∼ i ⁵
8554	urine	ǹjàrìí	urine	1142	Tommo_So	URINE		n ¹ dʒ a ¹ r i ¹ i ⁵
8555	urine	ʔìnjùrù	urine	1142	Tomo_Kan	URINE		ʔ i ¹ n dʒ u ¹ r u ¹
8556	urine	ànnà-ní	urine	1142	Toro_Tegu	URINE		a ¹ n n a ¹ + n i ⁵
8557	urine	ómzú	urine	1142	Yanda_Dom	URINE		o ⁵ m z u ⁵
8558	urine	ìsán	urine	1142	Yorno_So	URINE		i ¹ s a ⁵ n
8559	vagina	númbɛ́	vagin	1836	Bangime	VAGINA	Bankan_Tey	n u ⁵ m b ɛ ⁵
8560	vagina	dúmbá	vagin	1836	Bankan_Tey	VAGINA		d u ⁵ m b a ⁵
8561	vagina	jéré	vagin	1836	Ben_Tey	VAGINA		dʒ e ⁵ r e ⁵
8562	vagina	dúmmù-ŋ̀	vagin	1836	Dogul_Dom	VAGINA		d u ⁵ m m u ¹ + ŋ ¹
8563	vagina	faata	vagin	1836	Fulfulde	VAGINA		f a a t a
8564	vagina	dɛ̀mɛ́	vagin	1836	Gourou	VAGINA		d ɛ ¹ m ɛ ⁵
8565	vagina	dɛ̀mɛ́	vagin	1836	Jamsay	VAGINA		d ɛ ¹ m ɛ ⁵
8566	vagina	pùwɔ̀	vagin	1836	Jenaama	VAGINA		p u ¹ w ɔ ¹
8567	vagina	sébì	vagin	1836	Mombo	VAGINA		s e ⁵ b i ¹
8568	vagina	dúmbú	vagin	1836	Najamba	VAGINA		d u ⁵ m b u ⁵
8569	vagina	kɛ́njí	vagin	1836	Nanga	VAGINA		k ɛ ⁵ n dʒ i ⁵
8570	vagina	sùgù	vagin	1836	Penange	VAGINA		s u ¹ ɡ u ¹
8571	vagina	dɛ̀mbɛ́	vagin	1836	Perge_Tegu	VAGINA		d ɛ ¹ m b ɛ ⁵
8572	[n, sometimes inal] vagina	bùtò	vagin [DIMIN bùt-íy-à: ] -poss: 1Sg alienable bùt-ê or inalienable bùt-èy ] [used in various insults directed at the victim’s mother, cf. also .á:-bùtè with archaic indefinite form] -ex of insult: .á:-. bùt-ô your mother’s vagina!	1836	Songhai_Senni	VAGINA		b u ¹ t o ¹
8573	[n, alienable or inal] vagina	dòfò	vagin [somewhat less common than synonym bùt-ò ] -poss (alienable): 1Sg dòf-ê -poss (inal): dòf-èy , 3Sg dòf-ò , 3FullSg .á.gá dòf-ô -cpd: see dòf-[í:z-ò] .	1836	Songhai_Senni	VAGINA		d o ¹ f o ¹
8574	[n] vagina //	dɔ̀fɛ̀	vagin [also common as mild ‘dammit!’ expletive; syn 	1836	Songhai_Kiini	VAGINA		d ɔ ¹ f ɛ ¹
8575	vagina	ɛ̀ndɛ́	vagin	1836	Tebul_Ure	VAGINA		ɛ ¹ n d ɛ ⁵
8576	vagina	í:ɲí	vagin	1836	Togo_Kan	VAGINA		iː ⁵ ɲ i ⁵
8577	vagina	dɛ̀mmɛ̀_bòndó	vagin	1836	Tommo_So	VAGINA		d ɛ ¹ m m ɛ ¹ _ b o ¹ n d o ⁵
8578	vagina	ʔìnjí:	vagin	1836	Tomo_Kan	VAGINA		ʔ i ¹ n dʒ iː ⁵
8579	vagina	pɔ̀rɔ́	vagin	1836	Toro_Tegu	VAGINA	Jenaama	p ɔ ¹ r ɔ ⁵
8580	vagina	cà:	vagin	1836	Yanda_Dom	VAGINA		tʃ aː ¹
8581	vagina	dɛ̀mɛ̀_bònɔ́	vagin	1836	Yorno_So	VAGINA		d ɛ ¹ m ɛ ¹ _ b o ¹ n ɔ ⁵
8582	village	dùgú	village, pays, région, village	930	Bambara	VILLAGE		d u ¹ ɡ u ⁵
8583	village	dīyà	village	930	Bangime	VILLAGE		d i ³ j a ¹
8584	village, town, settlement	ìsô:	village, ville	930	Bankan_Tey	VILLAGE		i ¹ s oː ⁵¹
8585	village, town, settlement	ìsê:	village, ville	930	Ben_Tey	VILLAGE		i ¹ s eː ⁵¹
8586	village	nogu	village	930	Bozo_Debo	VILLAGE		n o ɡ u
8587	village	nuⁿŋuⁿ	village	930	Bozo_Hainyaxo	VILLAGE		n ũ ∼ ŋ ũ ∼
8588	village	noguⁿ	village	930	Bozo_Korondougou_nord	VILLAGE		n o ɡ ũ ∼
8589	village	nogu	village	930	Bozo_Korondougou_sud	VILLAGE		n o ɡ u
8590	village	nogu	village	930	Bozo_Kotya	VILLAGE		n o ɡ u
8591	village	nogu	village	930	Bozo_Pondori_nord	VILLAGE		n o ɡ u
8592	village	noɣu	village	930	Bozo_Pondori_sud	VILLAGE		n o ɣ u
8593	village	nogu	village	930	Bozo_Tiema_Cewe	VILLAGE		n o ɡ u
8594	village	noⁿu	village	930	Bozo_Tieyaxo	VILLAGE		n o ∼ u
8595	village, town, settlement	ʔólò	village, ville	930	Bunoge	VILLAGE		ʔ o ⁵ l o ¹
8596	village, town, settlement	pùró	village, ville	930	Dogul_Dom	VILLAGE		p u ¹ r o ⁵
8597	village, town, settlement	àndá	village, ville	930	Donno_So	VILLAGE		a ¹ n d a ⁵
8598	village	wuro	village	930	Fulfulde	VILLAGE		w u r o
8599	village, town, settlement	àná	village, ville	930	Jamsay	VILLAGE		a ¹ n a ⁵
8600	village	nɔ̀gù	village	930	Jenaama	VILLAGE		n ɔ ¹ ɡ u ¹
8601	village, town, settlement	dúgù	village, ville	930	Mombo	VILLAGE	BAM	d u ⁵ ɡ u ¹
8602	village, town, settlement	sɔ̀njɔ̌:	village, ville	930	Najamba	VILLAGE		s ɔ ¹ n dʒ ɔː ¹⁵
8603	village, town, settlement	ìsê	village, ville	930	Nanga	VILLAGE		i ¹ s e ⁵¹
8604	village, town, settlement	dùgù	village, ville	930	Penange	VILLAGE	BAM	d u ¹ ɡ u ¹
8605	village, town, settlement	àlá	village, ville	930	Perge_Tegu	VILLAGE		a ¹ l a ⁵
8606	[n] village, city, settlement	kòyrà	village, ville [Za kwá:rá , Ka kòyrè , TSK k.´yr.´ (DefSg k.`yr -..: )] -poss (alienable, suggesting ownership): 1Sg kòyr-ê , 3Sg à.kòyrâ -poss (inalienable, suggesting residence, not used with 3Sg possessor): 1Sg kòyr-èy -phrase: kòyrà gà in town	930	Songhai_Senni	VILLAGE		k o ¹ j r a ¹
8607	[n] village, city, settlement	kɔ́yrɛ́	village, ville	930	Songhai_Kiini	VILLAGE		k ɔ ⁵ j r ɛ ⁵
8608	[n] village, city, settlement	nuⁿŋuⁿ	côté, village, pays natal	930	Soninke	VILLAGE		n ũ ∼ ŋ ũ ∼
8609	village	dèbê	village	930	Soninke	VILLAGE		d e ¹ b e ⁵¹
8610	village, town, settlement	dámbá	village, ville	930	Tebul_Ure	VILLAGE		d a ⁵ m b a ⁵
8611	village, town, settlement	ìjò	village, ville	930	Tiranige_Diga	VILLAGE		i ¹ dʒ o ¹
8612	village, town, settlement	àná	village, ville	930	Togo_Kan	VILLAGE		a ¹ n a ⁵
8613	village, town, settlement	dámmá	village, ville	930	Tommo_So	VILLAGE		d a ⁵ m m a ⁵
8614	village, town, settlement	àlá	village, ville	930	Toro_Tegu	VILLAGE		a ¹ l a ⁵
8615	village, town, settlement	dàmá	village, ville	930	Yanda_Dom	VILLAGE		d a ¹ m a ⁵
8616	village, town, settlement	àná	village, ville	930	Yorno_So	VILLAGE		a ¹ n a ⁵
8617	village, town, settlement	áná	village, ville	930	Toro_So	VILLAGE		a ⁵ n a ⁵
8618	wall	dɛ̀nɛ́ⁿ	mur (d'une construction)	933	Bambara	WALL (OF HOUSE)		d ɛ ¹ n ɛ ∼ ⁵
8619	wall	kɔ́rⁿɔ́	mur	933	Bangime	WALL (OF HOUSE)		k ɔ ⁵ r̃ ∼ ɔ ⁵
8620	wall (of house)	tǒ:	mur (d'une maison)	933	Bankan_Tey	WALL (OF HOUSE)		t oː ¹⁵
8621	wall (of house)	ùrò_tùlî:	mur (d'une maison)	933	Ben_Tey	WALL (OF HOUSE)		u ¹ r o ¹ _ t u ¹ l iː ⁵¹
8622	wall (of house)	píŋgì	mur (d'une maison)	933	Bunoge	WALL (OF HOUSE)		p i ⁵ ŋ ɡ i ¹
8623	wall (of house)	kógòl	mur (d'une maison)	933	Dogul_Dom	WALL (OF HOUSE)	FUL, BAM	k o ⁵ ɡ o ¹ l
8624	wall (of house)	gìnɛ́	mur (d'une maison)	933	Donno_So	WALL (OF HOUSE)		ɡ i ¹ n ɛ ⁵
8625	wall	kokowol	mur	933	Fulfulde	WALL (OF HOUSE)		k o k o w o l
8626	wall (of house)	gówó	mur (d'une maison)	933	Jamsay	WALL (OF HOUSE)		ɡ o ⁵ w o ⁵
8627	wall	kɛ́rɛ̄	mur	933	Jenaama	WALL (OF HOUSE)		k ɛ ⁵ r ɛ ³
8628	wall (of house)	túndú	mur (d'une maison)	933	Mombo	WALL (OF HOUSE)		t u ⁵ n d u ⁵
8629	wall (of house)	òlè_jɛ̀gɛ̀lɛ́	mur (d'une maison)	933	Najamba	WALL (OF HOUSE)		o ¹ l e ¹ _ dʒ ɛ ¹ ɡ ɛ ¹ l ɛ ⁵
8630	wall (of house)	ǹdò_tùndí	mur (d'une maison)	933	Nanga	WALL (OF HOUSE)		n ¹ d o ¹ _ t u ¹ n d i ⁵
8631	wall (of house)	kɛ́rɔ́	mur (d'une maison)	933	Penange	WALL (OF HOUSE)	Jenaama	k ɛ ⁵ r ɔ ⁵
8632	wall (of house)	ìrè_dì:njí	mur (d'une maison)	933	Perge_Tegu	WALL (OF HOUSE)		i ¹ r e ¹ _ d iː ¹ n dʒ i ⁵
8633	[n] wall	tèlò	mur	933	Songhai_Senni	WALL (OF HOUSE)		t e ¹ l o ¹
8634	[n] low stone wall (without mud bricks) //	tɛ̀lú	mur bas en pierres (sans 	933	Songhai_Kiini	WALL (OF HOUSE)		t ɛ ¹ l u ⁵
8635	wall	tàgáyè	mur	933	Soninke	WALL (OF HOUSE)		t a ¹ ɡ a ⁵ j e ¹
8636	wall (of house)	ùlò_gɔ̀ŋgɔ́	mur (d'une maison)	933	Tebul_Ure	WALL (OF HOUSE)		u ¹ l o ¹ _ ɡ ɔ ¹ ŋ ɡ ɔ ⁵
8637	wall (of house)	pígí	mur (d'une maison)	933	Tiranige_Diga	WALL (OF HOUSE)		p i ⁵ ɡ i ⁵
8638	wall (of house)	gìrⁿí	mur (d'une maison)	933	Togo_Kan	WALL (OF HOUSE)		ɡ i ¹ r̃ ∼ i ⁵
8639	wall (of house)	gìnɛ̀_dìŋgìrú	mur (d'une maison)	933	Tommo_So	WALL (OF HOUSE)		ɡ i ¹ n ɛ ¹ _ d i ¹ ŋ ɡ i ¹ r u ⁵
8640	wall (of house)	íló_gòlù	mur (d'une maison)	933	Toro_Tegu	WALL (OF HOUSE)		i ⁵ l o ⁵ _ ɡ o ¹ l u ¹
8641	wall (of house)	ʔə̀lò_tùnù	mur (d'une maison)	933	Yanda_Dom	WALL (OF HOUSE)		ʔ ə ¹ l o ¹ _ t u ¹ n u ¹
8642	wall (of house)	gɛ̀rⁿɛ̀_bénɛ́	mur (d'une maison)	933	Yorno_So	WALL (OF HOUSE)		ɡ ɛ ¹ r̃ ∼ ɛ ¹ _ b e ⁵ n ɛ ⁵
8643	wall (of house)	gìⁿrⁿùⁿ_bèné	mur (d'une maison)	933	Toro_So	WALL (OF HOUSE)		ɡ ĩ ∼ ¹ r̃ ∼ ũ ∼ ¹ _ b e ¹ n e ⁵
8644	water	mí:	eau	948	Ampari	WATER		m iː ⁵
8645	water	jí	eau, jus, tout élément liquide	948	Bambara	WATER		dʒ i ⁵
8646	water	ɥīyɛ̀	eau	948	Bangime	WATER		ɥ i ³ j ɛ ¹
8647	water	nî:	eau	948	Bankan_Tey	WATER		n iː ⁵¹
8648	water	nî:	eau	948	Ben_Tey	WATER		n iː ⁵¹
8649	water	jii	eau	948	Bozo_Debo	WATER		dʒ i i
8650	water	juu	eau	948	Bozo_Hainyaxo	WATER		dʒ u u
8651	water	jii	eau	948	Bozo_Korondougou_nord	WATER		dʒ i i
8652	water	jii	eau	948	Bozo_Korondougou_sud	WATER		dʒ i i
8653	water	jii	eau	948	Bozo_Kotya	WATER		dʒ i i
8654	water	jii	eau	948	Bozo_Pondori_nord	WATER		dʒ i i
8655	water	ʒii	eau	948	Bozo_Pondori_sud	WATER		ʒ i i
8656	water	jii	eau	948	Bozo_Tiema_Cewe	WATER		dʒ i i
8657	water	jii	eau	948	Bozo_Tieyaxo	WATER		dʒ i i
8658	water	gɔ́	eau	948	Bunoge	WATER		ɡ ɔ ⁵
8659	water	ńɲù	eau	948	Dogul_Dom	WATER		n ⁵ ɲ u ¹
8660	water	ʔɲ́ì	eau	948	Dogul_Dom	WATER		ʔ ɲ ⁵ i ¹
8661	water	dî:	eau	948	Donno_So	WATER		d iː ⁵¹
8662	water	ndiy-am	eau	948	Fulfulde	WATER		n d i j + a m
8663	water	ní:	eau	948	Jamsay	WATER		n iː ⁵
8664	water	jī	eau	948	Jenaama	WATER		dʒ i ³
8665	water	mî:	eau	948	Mombo	WATER		m iː ⁵¹
8666	water	íŋgé	eau	948	Najamba	WATER		i ⁵ ŋ ɡ e ⁵
8667	water	nî:	eau	948	Nanga	WATER		n iː ⁵¹
8668	water	mì:	eau	948	Penange	WATER		m iː ¹
8669	water	ní:	eau	948	Perge_Tegu	WATER		n iː ⁵
8670	water	hárí	eau	948	Songhai_Kiini	WATER		h a ⁵ r i ⁵
8671	water	ínjé	eau	948	Tebul_Ure	WATER		i ⁵ n dʒ e ⁵
8672	water	mí:	eau	948	Tiranige_Diga	WATER		m iː ⁵
8673	water	dí:	eau	948	Togo_Kan	WATER		d iː ⁵
8674	water	díí	eau	948	Tommo_So	WATER		d iː ⁵
8675	water	jí:	eau	948	Tomo_Kan	WATER		dʒ iː ⁵
8676	water	ní	eau	948	Toro_Tegu	WATER		n i ⁵
8677	water	ínjú	eau	948	Yanda_Dom	WATER		i ⁵ n dʒ u ⁵
8678	water	dǐ:	eau	948	Yorno_So	WATER		d iː ¹⁵
8679	water	dìí	eau	948	Toro_So	WATER		d i ¹ i ⁵
8680	[intr, tr] weave (e.g. cotton fabric, palm-frond mats)	dá	tisser, tresser, coiffer	133	Bambara	WEAVE		d a ⁵
8681	weave	ɡɔ̄ɡɔ̀	tisser	133	Bangime	WEAVE		ɡ ɔ ³ ɡ ɔ ¹
8682	weave (fabric, from cotton thread)	tíyɛ́	tisser (tissu, en fil de coton)	133	Bankan_Tey	WEAVE		t i ⁵ j ɛ ⁵
8683	weave (fabric, from cotton thread)	tíyɛ́	tisser (tissu, en fil de coton)	133	Ben_Tey	WEAVE		t i ⁵ j ɛ ⁵
8684	weave (fabric, from cotton thread)	tíyɛ̀	tisser (tissu, en fil de coton)	133	Bunoge	WEAVE		t i ⁵ j ɛ ¹
8685	weave (fabric, from cotton thread)	ɛ́rɛ̀	tisser (tissu, en fil de coton)	133	Dogul_Dom	WEAVE		ɛ ⁵ r ɛ ¹
8686	weave	saɲu-de	tisser	133	Fulfulde	WEAVE		s a ɲ u + d e
8687	weave (fabric, from cotton thread)	tɛ́:ⁿ	tisser (tissu, en fil de coton)	133	Jamsay	WEAVE		t ɛ̃ː ∼ ⁵
8688	weave	kòy	tisser	133	Jenaama	WEAVE		k o ¹ j
8689	weave (fabric, from cotton thread)	gɛ̀zì_tyɛ́:	tisser (tissu, en fil de coton)	133	Mombo	WEAVE		ɡ ɛ ¹ z i ¹ _ t j ɛː ⁵
8690	weave (fabric, from cotton thread)	tíyɛ́	tisser (tissu, en fil de coton)	133	Najamba	WEAVE		t i ⁵ j ɛ ⁵
8691	weave (fabric, from cotton thread)	tɛ́:	tisser (tissu, en fil de coton)	133	Nanga	WEAVE		t ɛː ⁵
8692	weave (fabric, from cotton thread)	tíyɛ́	tisser (tissu, en fil de coton)	133	Penange	WEAVE		t i ⁵ j ɛ ⁵
8693	weave (fabric, from cotton thread)	tɛ́:	tisser (tissu, en fil de coton)	133	Perge_Tegu	WEAVE		t ɛː ⁵
8694	[intr, tr] weave (e.g. cotton fabric, palm-frond mats)	cèy	tisser (tissu, nattes en feuilles de doum, etc.	133	Songhai_Senni	WEAVE	Dogon?	tʃ e ¹ j
8695	weave (fabric, from cotton thread)	tɛ́	tisser (tissu, en fil de coton)	133	Tebul_Ure	WEAVE		t ɛ ⁵
8696	weave (fabric, from cotton thread)	tíyɔ́	tisser (tissu, en fil de coton)	133	Tiranige_Diga	WEAVE		t i ⁵ j ɔ ⁵
8697	weave (fabric, from cotton thread)	tɛ́:	tisser (tissu, en fil de coton)	133	Togo_Kan	WEAVE		t ɛː ⁵
8698	weave (fabric, from cotton thread)	tíyⁿɛ́	tisser (tissu, en fil de coton)	133	Tommo_So	WEAVE		t i ⁵ j ∼ ɛ ⁵
8699	weave (fabric, from cotton thread)	cɛ́:	tisser (tissu, en fil de coton)	133	Tomo_Kan	WEAVE		tʃ ɛː ⁵
